customer_id,customer_name,x_coord_sdu,y_coord_sdu,demand_units_per_year,provenance
ZONE_01,Northwest Outer,8,82,60,SCENARIO_ASSUMPTION
ZONE_02,Northwest Inner,22,88,75,SCENARIO_ASSUMPTION
ZONE_03,North-Central West,35,72,70,SCENARIO_ASSUMPTION
ZONE_04,West-Central,10,45,65,SCENARIO_ASSUMPTION
ZONE_05,Southwest,27,30,85,SCENARIO_ASSUMPTION
ZONE_06,South-Central West,43,18,70,SCENARIO_ASSUMPTION
ZONE_07,Central,48,55,105,SCENARIO_ASSUMPTION
ZONE_08,North-Central East,62,72,80,SCENARIO_ASSUMPTION
ZONE_09,Northeast Inner,78,88,75,SCENARIO_ASSUMPTION
ZONE_10,Northeast Outer,91,65,85,SCENARIO_ASSUMPTION
ZONE_11,Southeast Inner,75,32,90,SCENARIO_ASSUMPTION
ZONE_12,Southeast Outer,92,12,100,SCENARIO_ASSUMPTION
